,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,timestamp,UnixTimeStamp,TobiiTimeStamp,EyeOpennessLeftSranipal,EyeOpennessRightSranipal,HmdPosition_x,HmdPosition_y,HmdPosition_z,NoseVector_x,NoseVector_y,NoseVector_z,EyePositionCombinedWorld_x,EyePositionCombinedWorld_y,EyePositionCombinedWorld_z,EyeDirectionCombinedWorld_x,EyeDirectionCombinedWorld_y,EyeDirectionCombinedWorld_z,EyePositionCombinedLocal_x,EyePositionCombinedLocal_y,EyePositionCombinedLocal_z,EyeDirectionCombinedLocal_x,EyeDirectionCombinedLocal_y,EyeDirectionCombinedLocal_z,CarPosition_x,CarPosition_y,CarPosition_z,CarRotation_x,CarRotation_y,CarRotation_z,CarRotation_w,uid,scene,time_from_start,EyeDirectionCombinedLocal_x_copy,EyeDirectionCombinedLocal_y_copy,EyeDirectionCombinedLocal_z_copy,is_blink,combinedEyeDir_x_intp,combinedEyeDir_y_intp,combinedEyeDir_z_intp,Equal,SteeringInput,AcellerationInput,BrakeInput,eye_theta_h,eye_theta_v,eye_theta_h_int,eye_theta_v_int
0,42747,42747,42747,42747,2021-11-06 14:04:22.525943808+00:00,1636207462.5259438,13166.4755859375,1.0,1.0,-1473.0821533203125,175.1688995361328,1090.68701171875,-0.9951319098472596,-0.0680047497153282,-0.0713278576731681,-1473.0994873046875,175.17112731933594,1090.6492919921875,-0.9984028935432434,-0.0080147329717874,0.055735882371664,-17.278228759765625,2.2263336181640625,-37.70993041992188,0.1324615478515625,0.0459442138671875,0.9901123046875,-1473.5322265625,174.16246032714844,1091.076171875,-0.0025343056768178,-0.7460035681724548,-0.0012859066482633,0.6659361124038696,489749a7e3394cdda22f5f2717a340a8,CountryRoad,793.548005632,0.1324615478515625,0.0459442138671875,0.9901123046875,False,0.1324615478515625,0.0459442138671875,0.9901123046875,0,0.0263247154653072,0.0,0.0,0.1329946613444063,0.0463697702364019,0.1329946613444063,0.0463697702364019
1,42748,42748,42748,42748,2021-11-06 14:04:22.536914432+00:00,1636207462.5369143,13166.4873046875,1.0,1.0,-1473.385498046875,175.1685791015625,1090.65185546875,-0.9952276945114136,-0.0678184255957603,-0.070164754986763,-1473.40283203125,175.17080688476562,1090.6141357421875,-0.9983370900154114,-0.0078823519870638,0.0569285489618778,-17.278228759765625,2.2263336181640625,-37.70993041992188,0.1324615478515625,0.0459442138671875,0.9901123046875,-1473.5322265625,174.16246032714844,1091.076171875,-0.0025343056768178,-0.7460035681724548,-0.0012859066482633,0.6659361124038696,489749a7e3394cdda22f5f2717a340a8,CountryRoad,793.558976256,0.1324615478515625,0.0459442138671875,0.9901123046875,False,0.1324615478515625,0.0459442138671875,0.9901123046875,0,0.0267829429358243,0.0,0.0,0.1329946613444063,0.0463697702364019,0.1329946613444063,0.0463697702364019
2,42749,42749,42749,42749,2021-11-06 14:04:22.558855936+00:00,1636207462.558856,13166.509765625,1.0,1.0,-1473.6884765625,175.16831970214844,1090.6171875,-0.9953141808509828,-0.0677119493484497,-0.0690290033817291,-1473.69580078125,175.17103576660156,1090.579345703125,-0.9981259703636168,-0.0119165368378162,0.059800986200571,-7.3004150390625,2.722747802734375,-37.825958251953125,0.1337127685546875,0.0417327880859375,0.9901275634765624,-1474.137451171875,174.16195678710938,1091.007080078125,-0.0026137160602957,-0.7451359033584595,-0.001326130121015,0.6669062972068787,489749a7e3394cdda22f5f2717a340a8,CountryRoad,793.58091776,0.1337127685546875,0.0417327880859375,0.9901275634765624,False,0.1337127685546875,0.0417327880859375,0.9901275634765624,0,0.0267829429358243,0.0,0.0,0.1342339059366208,0.0421239674084724,0.1342339059366208,0.0421239674084724
3,42750,42750,42750,42750,2021-11-06 14:04:22.580796160+00:00,1636207462.5807962,13166.53125,1.0,1.0,-1473.9915771484375,175.1681671142578,1090.5826416015625,-0.9954410791397096,-0.0672109872102737,-0.0676778629422187,-1474.0009765625,175.1707763671875,1090.544921875,-0.9980714917182922,-0.0104173403233289,0.0609349720180034,-9.457565307617188,2.607147216796875,-37.77452087402344,0.133575439453125,0.042816162109375,0.9900970458984376,-1474.43994140625,174.1617431640625,1090.97314453125,-0.0026508879382163,-0.7446871399879456,-0.0013405154459178,0.6674070954322815,489749a7e3394cdda22f5f2717a340a8,CountryRoad,793.602857984,0.133575439453125,0.042816162109375,0.9900970458984376,False,0.133575439453125,0.042816162109375,0.9900970458984376,0,0.0272411722689867,0.0,0.0,0.1341017731287356,0.0432174828983696,0.1341017731287356,0.0432174828983696
4,42751,42751,42751,42751,2021-11-06 14:04:22.591768064+00:00,1636207462.591768,13166.54296875,1.0,1.0,-1474.294677734375,175.16787719726562,1090.5482177734375,-0.9955676198005676,-0.066840536892414,-0.0661630555987358,-1474.3123779296875,175.17015075683594,1090.5106201171875,-0.9981364011764526,0.0035693892277777,0.0607202388346195,-17.730255126953125,2.275054931640625,-37.64268493652344,0.13323974609375,0.0565643310546875,0.9894561767578124,-1474.43994140625,174.1617431640625,1090.97314453125,-0.0026508879382163,-0.7446871399879456,-0.0013405154459178,0.6674070954322815,489749a7e3394cdda22f5f2717a340a8,CountryRoad,793.613829888,0.13323974609375,0.0565643310546875,0.9894561767578124,False,0.13323974609375,0.0565643310546875,0.9894561767578124,0,0.0277299489825963,0.0,0.0,0.1338543789375132,0.0571049371123212,0.1338543789375132,0.0571049371123212
5,42752,42752,42752,42752,2021-11-06 14:04:22.603735808+00:00,1636207462.603736,13166.5537109375,1.0,1.0,-1474.294677734375,175.16787719726562,1090.5482177734375,-0.995573878288269,-0.0669507309794426,-0.0659582242369651,-1474.327392578125,175.1696319580078,1090.5107421875,-0.9978507161140442,0.0446372777223587,0.0478472858667373,-32.68794250488281,1.7528228759765625,-37.45263671875,0.1244049072265625,0.098846435546875,0.9872894287109376,-1474.74267578125,174.16156005859375,1090.9395751953125,-0.0026856504846364,-0.7442280650138855,-0.0013540318468585,0.6679188013076782,489749a7e3394cdda22f5f2717a340a8,CountryRoad,793.625797632,0.1244049072265625,0.098846435546875,0.9872894287109376,False,0.1244049072265625,0.098846435546875,0.9872894287109376,0,0.0281881783157587,0.0,0.0,0.1253459086215019,0.099786478133149,0.1253459086215019,0.099786478133149
6,42753,42753,42753,42753,2021-11-06 14:04:22.625677824+00:00,1636207462.6256778,13166.576171875,1.0,1.0,-1474.5977783203125,175.16763305664062,1090.514404296875,-0.9956938028335572,-0.067359372973442,-0.0636921972036361,-1474.630615234375,175.16940307617188,1090.4769287109375,-0.9976430535316468,0.0469686985015869,0.0497442334890365,-32.8197021484375,1.769287109375,-37.45256042480469,0.1242218017578125,0.1016998291015625,0.9870147705078124,-1475.04541015625,174.16139221191406,1090.9061279296875,-0.0027240293566137,-0.7437577843666077,-0.00137181696482,0.6684424877166748,489749a7e3394cdda22f5f2717a340a8,CountryRoad,793.647739648,0.1242218017578125,0.1016998291015625,0.9870147705078124,False,0.1242218017578125,0.1016998291015625,0.9870147705078124,0,0.028646407648921,0.0,0.0,0.1251978069441115,0.1026754604117314,0.1251978069441115,0.1026754604117314
7,42754,42754,42754,42754,2021-11-06 14:04:22.635650304+00:00,1636207462.6356504,13166.5869140625,1.0,1.0,-1474.9007568359375,175.1674041748047,1090.4808349609375,-0.9957998394966124,-0.0675947070121765,-0.0617589429020881,-1474.93359375,175.16912841796875,1090.443359375,-0.9975393414497375,0.0464023686945438,0.0522711873054504,-32.85884094238281,1.7309112548828125,-37.45021057128906,0.1247406005859375,0.101348876953125,0.9869842529296876,-1475.04541015625,174.16139221191406,1090.9061279296875,-0.0027240293566137,-0.7437577843666077,-0.00137181696482,0.6684424877166748,489749a7e3394cdda22f5f2717a340a8,CountryRoad,793.657712128,0.1247406005859375,0.101348876953125,0.9869842529296876,False,0.1247406005859375,0.101348876953125,0.9869842529296876,0,0.0295628644526004,0.0,0.0,0.1257190477378426,0.1023267555301089,0.1257190477378426,0.1023267555301089
8,42755,42755,42755,42755,2021-11-06 14:04:22.659586304+00:00,1636207462.6595864,13166.609375,1.0,1.0,-1475.20361328125,175.16720581054688,1090.4476318359375,-0.9959087371826172,-0.0681977495551109,-0.0592925250530242,-1475.2364501953125,175.16893005371094,1090.41015625,-0.997833788394928,0.0386556684970855,0.0531867258250713,-32.81831359863281,1.72698974609375,-37.424102783203125,0.122467041015625,0.0944976806640625,0.9879608154296876,-1475.650634765625,174.1611328125,1090.8406982421875,-0.0028068558312952,-0.7427775859832764,-0.0014102738350629,0.669530987739563,489749a7e3394cdda22f5f2717a340a8,CountryRoad,793.681648128,0.122467041015625,0.0944976806640625,0.9879608154296876,False,0.122467041015625,0.0944976806640625,0.9879608154296876,0,0.0305098723620176,0.0,0.0,0.123330283972763,0.0953591190453395,0.123330283972763,0.0953591190453395
9,42756,42756,42756,42756,2021-11-06 14:04:22.669560064+00:00,1636207462.66956,13166.62109375,1.0,1.0,-1475.5068359375,175.16705322265625,1090.414794921875,-0.9960046410560608,-0.0681823343038559,-0.0576731972396373,-1475.532470703125,175.16912841796875,1090.3773193359375,-0.9977035522460938,0.0433288291096687,0.0517592579126358,-25.596649169921875,2.07275390625,-37.45021057128906,0.11993408203125,0.099395751953125,0.9877777099609376,-1475.650634765625,174.1611328125,1090.8406982421875,-0.0028068558312952,-0.7427775859832764,-0.0014102738350629,0.669530987739563,489749a7e3394cdda22f5f2717a340a8,CountryRoad,793.691621888,0.11993408203125,0.099395751953125,0.9877777099609376,False,0.11993408203125,0.099395751953125,0.9877777099609376,0,0.0314263328909873,0.0,0.0,0.1208266491626833,0.1002880472708215,0.1208266491626833,0.1002880472708215
